,accordion,banjo,bell,clarinet,drum,flute,guitar,harp,jukebox,microphone,piano,record player,saxophone,speaker,tambourine,trumpet,violin,whistle,bagpipes,cymbals,harmonica,xylophone
record player,0.28316938258172986,0.23385176714674394,0.23432701895147234,0.3038413450406843,0.3080037138468168,0.3532489648202517,0.3180194724725951,0.34768443263952986,0.39958980747677075,0.3854541444838049,0.3459383309747719,1.0,0.3358413193461989,0.2932455143445135,0.3594850434301169,0.40371257129546034,0.30047905764074545,0.20914220192587207,0.33144460111590124,0.31677371773128904,0.35439853295495527,0.2757305179172266
saxophone,0.5167883780447221,0.4065685252509674,0.2852513966151897,0.7125150666453531,0.42088041557092093,0.5881198889642305,0.44633486659018207,0.41041548155721297,0.2389427823732413,0.2883789225823753,0.5458981519231034,0.3358413193461989,0.9999999999999998,0.31118488016493684,0.5095612214583985,0.6406208607909447,0.49568050504835903,0.3610739805322347,0.4431677012043529,0.38936601018167316,0.5220063425097877,0.40082849260123066
speaker,0.3168347599634329,0.13740341157489788,0.3740877552707942,0.29285264646605236,0.2817059095309117,0.2450126182387189,0.29955037363515435,0.24933064370584623,0.23338759146939336,0.46594111739239663,0.33534821938655024,0.2932455143445135,0.31118488016493684,1.0,0.2218609189610542,0.31852348011031184,0.3030338763407223,0.2242008553107896,0.19483505336684093,0.20378095106796623,0.1970210816909146,0.23397773822461032
tambourine,0.4926024976675337,0.4565648124813255,0.2936204030672094,0.46051428877861333,0.5690290076834162,0.5409400282521718,0.4510557092767836,0.5131639205548303,0.35283118258672297,0.42330449706728557,0.4771463631526951,0.3594850434301169,0.5095612214583985,0.2218609189610542,1.0,0.5546177507651602,0.48569286795848665,0.39605421001167773,0.5489553452968571,0.607831394850296,0.5270153952224848,0.48021813989929685
trumpet,0.4700764001880956,0.3983818508537331,0.4034486673409148,0.5860027200288511,0.46130517706844076,0.6700464197953653,0.43033928003323396,0.47394917825174465,0.1728220165513279,0.3468935846481278,0.5292656143466302,0.40371257129546034,0.6406208607909447,0.31852348011031184,0.5546177507651602,1.0,0.5213129770283218,0.42198557863515596,0.5401653483455714,0.4301469627186105,0.48490825815379934,0.2914494637138041
violin,0.4790589130983739,0.4690044889520457,0.31545887975738673,0.4705491663954191,0.3897059571067574,0.5479104447726815,0.5184249396033389,0.5322148171288351,0.1938919806955024,0.24087531125714634,0.5921308164880142,0.30047905764074545,0.49568050504835903,0.3030338763407223,0.48569286795848665,0.5213129770283218,1.0,0.33184321382689386,0.4584953433827508,0.3760856750440489,0.4443240509420512,0.35952547259668344
whistle,0.38751439387047526,0.29667075723166136,0.26715703462700646,0.3753411568192928,0.3677792476153532,0.39548838505484385,0.30074424460962157,0.3580960376186222,0.19964986306098975,0.40497247972403994,0.3328157896159446,0.20914220192587207,0.3610739805322347,0.2242008553107896,0.39605421001167773,0.42198557863515596,0.33184321382689386,0.9999999999999998,0.4748881440265895,0.3452248353888203,0.4575604329163053,0.3171811326977503
bagpipes,0.41655258981444265,0.4144314010213149,0.2867456760690691,0.4217756242130497,0.45769121711705374,0.4535757485788463,0.4043987553107218,0.5906073945742294,0.2646268620769101,0.3092565596308452,0.40742989331446267,0.33144460111590124,0.4431677012043529,0.19483505336684093,0.5489553452968571,0.5401653483455714,0.4584953433827508,0.4748881440265895,1.0,0.5444357000573713,0.5733954347242828,0.31990462412781184
cymbals,0.470433593048488,0.40030629429098563,0.2099674935341196,0.4805104105941078,0.670295179845949,0.43085400916475547,0.4135433321151065,0.34883366113181224,0.2989327280399712,0.36374720851367615,0.3860010834141371,0.31677371773128904,0.38936601018167316,0.20378095106796623,0.607831394850296,0.4301469627186105,0.3760856750440489,0.3452248353888203,0.5444357000573713,1.0,0.41336724187856566,0.41620726529655516
harmonica,0.45646271862132637,0.4433848516275334,0.1574353078550481,0.4959724364018876,0.4281603374722498,0.5109442267450085,0.48375773266719313,0.5997267656995445,0.37361626413271076,0.37226769276595506,0.5288248800944991,0.35439853295495527,0.5220063425097877,0.1970210816909146,0.5270153952224848,0.48490825815379934,0.4443240509420512,0.4575604329163053,0.5733954347242828,0.41336724187856566,0.9999999999999998,0.3741348292383211
xylophone,0.3892378140171766,0.34599821384728524,0.15458534505450183,0.4316203649409973,0.3770148237828247,0.4274500908226573,0.32988882292878796,0.33865989384420314,0.276562334777954,0.2812907057883618,0.3890856448962099,0.2757305179172266,0.40082849260123066,0.23397773822461032,0.48021813989929685,0.2914494637138041,0.35952547259668344,0.3171811326977503,0.31990462412781184,0.41620726529655516,0.3741348292383211,0.9999999999999998
