,book,box,calculator,chalk,chalkboard,computer,crayon,envelope,eraser,globe,highlighter,keyboard,locker,lunchbox,marker,microscope,newspaper,notebook,package,paper,paper clip,pen,pencil,printer,rubber bands,ruler,scissors,stamp,staple remover,stapler,staples,typewriter
microscope,0.24508857291133357,0.22861188801872456,0.3177555647169894,0.3285690117594988,0.2997709953434817,0.25871060206149,0.33888413131123873,0.34675732518477154,0.3551816827700569,0.347438244797017,0.36239666862769093,0.27329504600598686,0.3308862617035264,0.25273879232440977,0.35871874919297475,1.0,0.26922312616295807,0.32693373065428266,0.21109818282758164,0.3396766709603337,0.4248618415130263,0.32603140362518057,0.38098659449953365,0.30581018388855563,0.28996291871617885,0.343193480473987,0.33942376941640506,0.2880524517327021,0.2721697056502951,0.3256919863557618,0.34385677442292684,0.2783559405557767
newspaper,0.45701545105733277,0.395861583494417,0.2476359682131477,0.33634329099929805,0.464723117670401,0.3615692736923233,0.3153660922518292,0.30464772300237075,0.2855762059851885,0.34725527945541323,0.27727489868930455,0.3442603436767422,0.3808416246800297,0.17829158248420285,0.40068650876295786,0.26922312616295807,0.9999999999999998,0.4299210823029047,0.3435161429472062,0.7062639006167358,0.5142937208463626,0.38592904592789623,0.3408425637816037,0.4388778933115204,0.1663000214330811,0.2390989540337366,0.2839958414120096,0.4215820891170907,0.17510993780411255,0.28927015866820893,0.3756520817229754,0.35304246200566003
notebook,0.4481570744144193,0.32832771799596894,0.30176171410176544,0.2101003461987928,0.3312161378450018,0.44261446364850887,0.33988609112115187,0.281989763924235,0.32680069085214636,0.3301479408970047,0.3367269302624635,0.39343504001410645,0.3554774810451393,0.21926877623742191,0.36508190575877086,0.32693373065428266,0.4299210823029047,1.0,0.34953757581999056,0.476398544854872,0.39789759514999823,0.4194620294978627,0.42176574330553684,0.3233982202506953,0.20324688544041036,0.2088942196081356,0.30213898003953055,0.21475696587044635,0.2071672542035501,0.36373792794404525,0.41579098054918984,0.4147305278245361
package,0.4448749960716418,0.6075657400548653,0.18798254628239564,0.22991282465738205,0.3221415790014577,0.38091620360803424,0.19610281615210912,0.508985811846303,0.2329612801964951,0.3512531621274182,0.3338521157714882,0.28235075872296034,0.384099550524837,0.3248720348817601,0.2806113319371514,0.21109818282758164,0.3435161429472062,0.34953757581999056,1.0,0.4241856177428849,0.27289614957966934,0.2360701941517802,0.2572975476788908,0.3788390496189604,0.23040196702142335,0.31072361027235473,0.27707444549937743,0.38709617186743617,0.19059170895574784,0.20769418559740693,0.24151443616033763,0.1490105416446461
paper,0.5192640431758715,0.4321666271130904,0.2949249027686901,0.39105335268554064,0.4622100087503568,0.42324552039154384,0.4272981737532793,0.42054899914219246,0.39028236883702316,0.3523010415788571,0.36830179414742137,0.33571834855259763,0.3669070877847169,0.17349913433556763,0.40263199639790714,0.3396766709603337,0.7062639006167358,0.476398544854872,0.4241856177428849,1.0,0.7244342925264269,0.5017681299757378,0.4463666000509986,0.5394906287848257,0.29918194647103624,0.29865844167975253,0.4674204722693458,0.4807092300702174,0.2885519854680576,0.4357895820060096,0.48569900932506793,0.4163269624408237
paper clip,0.34014751676958666,0.3093325947154123,0.26175798038354614,0.30959723008012374,0.3485260081565891,0.2711946794951383,0.4184083218433714,0.3923197769831528,0.3594184653732482,0.2955656050712614,0.35978407830420267,0.22657743406043784,0.3882247757010926,0.2601804336313812,0.3368005724849208,0.4248618415130263,0.5142937208463626,0.39789759514999823,0.27289614957966934,0.7244342925264269,1.0,0.4343004971966242,0.4240804089915058,0.39363417759122166,0.40258828766748467,0.22945748067169291,0.5218661081066238,0.4310273044281461,0.44258316058880587,0.5656337035719455,0.5104626106828783,0.3715372745134995
pen,0.4096057903522434,0.3295977770358428,0.3108568817930035,0.37247633228984145,0.40190425741959934,0.2790595147664874,0.6125438623381185,0.39405154057532465,0.5436084980751467,0.26271225915740004,0.330256926505339,0.41326400026779164,0.40614122650636575,0.2796983869211602,0.5166443677418987,0.32603140362518057,0.38592904592789623,0.4194620294978627,0.2360701941517802,0.5017681299757378,0.4343004971966242,1.0,0.6826125563237223,0.3048634296638615,0.26401247297189034,0.3245457478007594,0.4025018768597267,0.41176667526838784,0.2589545415414247,0.4073914931690211,0.33377380063158113,0.4978057843714989
pencil,0.36706617008907516,0.23613865679157897,0.36826223533391456,0.4597148585249088,0.43082656909433414,0.35649855337750813,0.8105588153261687,0.29245217425649606,0.5666551525240286,0.3041637458323515,0.38723555854246294,0.41140251269770745,0.3551256112259328,0.2508316842213427,0.4784621242169973,0.38098659449953365,0.3408425637816037,0.42176574330553684,0.2572975476788908,0.4463666000509986,0.4240804089915058,0.6826125563237223,1.0,0.3782816550262901,0.2757517383788748,0.3436966008308321,0.45925725790724004,0.4312825575793853,0.3470474058385772,0.40405379222729354,0.42568512949945636,0.44016544827318393
printer,0.41768665583696096,0.27170068816051973,0.3668273177355472,0.32234533355861195,0.37537151294279325,0.5340464389399415,0.289534752463533,0.34100281380705777,0.2877705044372666,0.18542835714911277,0.2604473344020469,0.3555339935523001,0.23641610913972677,0.15838871479062444,0.3548098731443895,0.30581018388855563,0.4388778933115204,0.3233982202506953,0.3788390496189604,0.5394906287848257,0.39363417759122166,0.3048634296638615,0.3782816550262901,1.0,0.19614948516226272,0.28275073072562684,0.31864954171730475,0.46207457369165916,0.3048491614988975,0.37687223659693303,0.4295950165300567,0.398441555978132
rubber bands,0.18645659402005754,0.175707167898715,0.2836835357002785,0.3011471551855296,0.24059018540043142,0.1404490049266569,0.30793059352285224,0.24746841433918543,0.4087082975109708,0.24077952975450834,0.26125582525502966,0.19395517032837184,0.2868096067231899,0.26703049378603505,0.23794535325928035,0.28996291871617885,0.1663000214330811,0.20324688544041036,0.23040196702142335,0.29918194647103624,0.40258828766748467,0.26401247297189034,0.2757517383788748,0.19614948516226272,1.0,0.2043723873756208,0.3969076950045689,0.24366139323218894,0.3536021128146075,0.4599733396011272,0.3929611108610782,0.15257394868955243
ruler,0.2813359976155344,0.3114193556652409,0.2738843203362793,0.2213608340132014,0.2907691497180902,0.2320398291961715,0.251093725151879,0.30589654119723153,0.27087707051435617,0.29791739037912435,0.18931045789651835,0.3110628823309598,0.24146675340454693,0.22914274484129504,0.3997438457334196,0.343193480473987,0.2390989540337366,0.2088942196081356,0.31072361027235473,0.29865844167975253,0.22945748067169291,0.3245457478007594,0.3436966008308321,0.28275073072562684,0.2043723873756208,0.9999999999999998,0.2579568228497726,0.33392124389750943,0.16900338680398508,0.28051155410046125,0.26513216274719675,0.18613850199027393
scissors,0.28450193513078026,0.24984134623571885,0.287453494224962,0.27438160726115535,0.23248821307042933,0.29894477138660136,0.41489289884736524,0.3106709211479901,0.4405532981671215,0.254231391409528,0.3099707768613076,0.2533919739473016,0.30314518817570524,0.2278256199597677,0.31217154700391836,0.33942376941640506,0.2839958414120096,0.30213898003953055,0.27707444549937743,0.4674204722693458,0.5218661081066238,0.4025018768597267,0.45925725790724004,0.31864954171730475,0.3969076950045689,0.2579568228497726,1.0,0.35830813280964036,0.5209169272666445,0.4292197251297636,0.4661471124212957,0.3281193048999014
stamp,0.3818335410786926,0.3565491497401958,0.2971351765924559,0.37758859898649555,0.41387571757148767,0.2903426932805828,0.3897777362398277,0.5354585654126585,0.4158282013795367,0.3407114240907889,0.30774482733842023,0.38288647438550427,0.41482756825051137,0.15742014682055883,0.48361993267217596,0.2880524517327021,0.4215820891170907,0.21475696587044635,0.38709617186743617,0.4807092300702174,0.4310273044281461,0.41176667526838784,0.4312825575793853,0.46207457369165916,0.24366139323218894,0.33392124389750943,0.35830813280964036,1.0,0.25438768084914676,0.33188519554951834,0.3114015685629614,0.4443947069260211
staple remover,0.17002939909460557,0.1331198028365076,0.24379579707296728,0.32473177817752097,0.279392000248055,0.16966434870846991,0.3375605349169719,0.24601727020850972,0.39383840102093526,0.17636179003337826,0.323634836721298,0.1574412804358304,0.27164056359615596,0.19873672972412937,0.29089500912052046,0.2721697056502951,0.17510993780411255,0.2071672542035501,0.19059170895574784,0.2885519854680576,0.44258316058880587,0.2589545415414247,0.3470474058385772,0.3048491614988975,0.3536021128146075,0.16900338680398508,0.5209169272666445,0.25438768084914676,1.0,0.6024891777080721,0.6217597803511556,0.21898632192909784
stapler,0.25742159908329,0.2687466566238095,0.29107355678064883,0.3505786971139311,0.4070959934641407,0.2331819717677568,0.3844285684904867,0.40063776225215464,0.4513055087986624,0.2081783599772825,0.3164595424301683,0.24659455036089883,0.4118330661720331,0.3757952278135852,0.38306217661944186,0.3256919863557618,0.28927015866820893,0.36373792794404525,0.20769418559740693,0.4357895820060096,0.5656337035719455,0.4073914931690211,0.40405379222729354,0.37687223659693303,0.4599733396011272,0.28051155410046125,0.4292197251297636,0.33188519554951834,0.6024891777080721,0.9999999999999998,0.6163982425749212,0.4122510169729865
staples,0.2937384104952365,0.24582541403249247,0.2859534276453519,0.3777962595896569,0.4108745531523249,0.34153451980210314,0.3953182242015679,0.2780769049519587,0.4308613660893832,0.2626149153638676,0.3275884528734174,0.24791716208753767,0.37700773313488,0.3185540753919318,0.3329323537674156,0.34385677442292684,0.3756520817229754,0.41579098054918984,0.24151443616033763,0.48569900932506793,0.5104626106828783,0.33377380063158113,0.42568512949945636,0.4295950165300567,0.3929611108610782,0.26513216274719675,0.4661471124212957,0.3114015685629614,0.6217597803511556,0.6163982425749212,1.0,0.30498452305562773
typewriter,0.22878724325748911,0.24548072224727402,0.3263752174482957,0.23294737461541826,0.34668367519563437,0.38574687739114544,0.37878140289530204,0.3312762694181348,0.3887887134668191,0.14565128175576247,0.27338340166844943,0.531681031988046,0.3751879384177763,0.22033901983079485,0.33270059889575077,0.2783559405557767,0.35304246200566003,0.4147305278245361,0.1490105416446461,0.4163269624408237,0.3715372745134995,0.4978057843714989,0.44016544827318393,0.398441555978132,0.15257394868955243,0.18613850199027393,0.3281193048999014,0.4443947069260211,0.21898632192909784,0.4122510169729865,0.30498452305562773,1.0
