,ashtray,barrel,bed,bench,calendar,candle,chair,chandelier,clock,crib,curtains,desk,disco ball,dresser,fan,hammock,high chair,jukebox,lamp,magazines,mattress,mirror,piggy bank,pillow,radio,record player,rocking chair,rug,safe,speaker,stocking,stool,table,tray,treadmill,vase,wreath
curtains,0.29968148756189694,0.23524767217449527,0.406656098915563,0.2569123657415835,0.22233024198079887,0.3650158968581023,0.34071077023134977,0.4142054569691622,0.29161763831301557,0.40440078106678934,1.0,0.3123990466848868,0.39037025273647397,0.381576459683849,0.18177807546061253,0.39564565233182925,0.2288380670661586,0.29836065009859647,0.35155486343158315,0.306732542370199,0.3425502934298619,0.29475033621762736,0.17049069958854401,0.406356889592298,0.2802497456485281,0.25021105525055387,0.3261572707582454,0.38125737499394685,0.1541028176237471,0.2565102006257991,0.2581505359464067,0.3332518341588031,0.22099078523900806,0.2107901450136701,0.2875689821742501,0.3196479780125734,0.30772879538381215
desk,0.30242556643996377,0.27360787434389877,0.4624799318116586,0.46482102568978156,0.3803123544799226,0.3329413558538985,0.5784769530751691,0.3491855531982744,0.3862953475724893,0.3149291394153122,0.3123990466848868,1.0,0.27413348447779495,0.4983705116910354,0.27851935218302226,0.27929185137347634,0.4598437303595315,0.3045374361148119,0.41052421777214176,0.29673272243432824,0.39967609217630073,0.2907581797454075,0.3704680273427302,0.3243643345558631,0.29941281241681716,0.31965582142103366,0.4547326080437709,0.37477141070064635,0.2992932234831355,0.43712204006113486,0.37076948506040597,0.460374068347442,0.6022571331074443,0.46714229869027357,0.2940142615926651,0.33132885711824556,0.28735173426077176
disco ball,0.33269797613380847,0.2556455046688355,0.28761814017090614,0.2572250987338862,0.24894514703428672,0.38010453948777356,0.1663473590258725,0.47209337917408534,0.38944389901044685,0.2814945275294134,0.39037025273647397,0.27413348447779495,1.0,0.29153646350165274,0.2547818188630345,0.28454479093709883,0.13846683710049734,0.3765985103699696,0.4232742464669439,0.24398927328359954,0.3160094971515942,0.21420705248039462,0.15872209743858023,0.25165554764430875,0.304225283546283,0.28411236488327085,0.24745193111577812,0.37773681157732375,0.12021415941134395,0.19102188196193104,0.1945417574104773,0.3224641510490329,0.2574496023359114,0.30218430174338407,0.30464887341001,0.2765245185249827,0.32427038415995457
dresser,0.33995882779041864,0.4084345166732969,0.4632275937948165,0.4026425094749071,0.2793502032256088,0.45889353166453195,0.361576576290609,0.45176619443209753,0.424952291218915,0.4257259152801587,0.381576459683849,0.4983705116910354,0.29153646350165274,0.9999999999999999,0.3238489824486541,0.21453311914642748,0.32001879285958434,0.36009619557069494,0.42869259465409937,0.33526104994471473,0.4176084455103948,0.29269182374182345,0.32596821820486943,0.4061653171686499,0.2177988483018427,0.37082189651702313,0.35925904430106037,0.46483079778599456,0.33577543163011214,0.3881439096382986,0.39350893480478366,0.35223641779038706,0.44910891140966447,0.39226180068451666,0.3485493080943285,0.3737803158840589,0.34413086559477657
fan,0.21599322936680587,0.26197297564722866,0.2646446472620724,0.2847491971921444,0.18854793970866357,0.339498279563194,0.2511352563983418,0.2230871946452676,0.26430849971187376,0.20295966012130562,0.18177807546061253,0.27851935218302226,0.2547818188630345,0.3238489824486541,0.9999999999999998,0.178445014426588,0.2337585756401146,0.1894285345458273,0.3685879728380086,0.2188439174353789,0.21666657051587712,0.2650721157279319,0.18030975537222282,0.2748397161034869,0.2973393913888287,0.26501594167679676,0.20742007396763973,0.24766255091492784,0.26529593477274105,0.3038401752158446,0.22052654973671282,0.19434004506588298,0.22768423654402936,0.24385323469215314,0.26565394882122584,0.21459089518189767,0.2626102994647612
hammock,0.211692246394673,0.18749647327174002,0.4047493295388145,0.3001072908544038,0.18257197371202616,0.2142159420870875,0.36072414474490466,0.2982987408054063,0.2036155666105619,0.4032941253863366,0.39564565233182925,0.27929185137347634,0.28454479093709883,0.21453311914642748,0.178445014426588,1.0,0.30226937983701696,0.16639138642081186,0.2824612125403454,0.1422336429350256,0.4416780751415865,0.13284972881890889,0.2417224265671838,0.4316823650691708,0.22463655461047727,0.12702368872925418,0.36129020259232947,0.41698215681392803,0.2253350755488508,0.23334429239291876,0.2186294080781912,0.32805367878809744,0.17895582556280376,0.21530380680076222,0.2792793191007895,0.23056714376510534,0.3034832154223247
high chair,0.27752538740346955,0.2295372157187695,0.3176763032074642,0.4277369073652211,0.1799572313967034,0.3155273752058251,0.8052577182774963,0.3609690102665064,0.2292218952767353,0.4218843902692979,0.2288380670661586,0.4598437303595315,0.13846683710049734,0.32001879285958434,0.2337585756401146,0.30226937983701696,1.0,0.1930269180097236,0.3651998000609079,0.2061755195699806,0.33812969363311973,0.2282291839070132,0.34621151163289854,0.3207382196707038,0.16507562034489076,0.28950969554502237,0.7199692021667782,0.38833968813526243,0.21029292590153736,0.5300707163349836,0.22361684014233818,0.4687661967200695,0.4887165369662827,0.3749118843407967,0.2600027544436654,0.29559713223470174,0.2777083136053935
jukebox,0.3931169247974343,0.2757035536935082,0.2220263901067694,0.31237858083792513,0.17505913558569142,0.21144056281028334,0.22539497801606778,0.4020345128060121,0.28891244929281323,0.27629532789950284,0.29836065009859647,0.3045374361148119,0.3765985103699696,0.36009619557069494,0.1894285345458273,0.16639138642081186,0.1930269180097236,1.0,0.33941327665965093,0.35739516451335396,0.23949584290503712,0.21921598028121325,0.27962026412749763,0.29771949917496277,0.3647538298708093,0.3995897534429036,0.27914743260479524,0.30620639948684836,0.1786551062130889,0.23338750322528445,0.2249598318524747,0.2595559528688409,0.33820794755363104,0.35238402555175075,0.23933856032413625,0.25839121744790705,0.1794071241142915
lamp,0.29815685118258184,0.27921799665606084,0.4075114808715956,0.37079529776185116,0.23877448997513095,0.5287173978314479,0.4111049269462035,0.5179815432840718,0.3847300475797113,0.3862450117831462,0.35155486343158315,0.41052421777214176,0.4232742464669439,0.42869259465409937,0.3685879728380086,0.2824612125403454,0.3651998000609079,0.33941327665965093,1.0,0.24004956305105107,0.37406458909888884,0.38165800304839237,0.28047659322158136,0.3842573024293412,0.4165807507432455,0.34469666872525817,0.35981526430639477,0.35351108614918014,0.23533610813981753,0.3918017154024558,0.3116082556778098,0.3917450155487323,0.45375440449261717,0.32148911236441924,0.2796667175796175,0.4301203297440588,0.38407040837330775
magazines,0.3570066530725269,0.34312934624013014,0.2957486095622235,0.26289570962705244,0.3136381837508705,0.19021243496420048,0.20012676075721647,0.24841644952332542,0.2637241217273931,0.3190448247739164,0.306732542370199,0.29673272243432824,0.24398927328359954,0.33526104994471473,0.2188439174353789,0.1422336429350256,0.2061755195699806,0.35739516451335396,0.24004956305105107,1.0,0.284856953949577,0.21551660158289443,0.2823960389071227,0.21497959962377,0.41598808914145724,0.2954741367873934,0.18431220109605007,0.25152118062031315,0.14282169383914178,0.23140962130909615,0.24705990726897487,0.31689345766178567,0.25525664367507583,0.3674762803016183,0.2745992692045185,0.22413414419833222,0.2294912364047602
mattress,0.2715351681896574,0.34073900946191915,0.6947033786238931,0.4158162765210245,0.276979310757798,0.29937689062640493,0.3989242663784749,0.342268868717875,0.28807341285857213,0.5115469724636214,0.3425502934298619,0.39967609217630073,0.3160094971515942,0.4176084455103948,0.21666657051587712,0.4416780751415865,0.33812969363311973,0.23949584290503712,0.37406458909888884,0.284856953949577,0.9999999999999999,0.2395853441512561,0.2483053087493554,0.49411606919534024,0.35160249145861844,0.230612842714919,0.32973928506466677,0.47531715072476277,0.311542304204536,0.26638764571768236,0.33517411520575513,0.38931409005731976,0.35545000206732924,0.32058806794712214,0.3455365820552784,0.2950374530251101,0.3241378810826365
mirror,0.14763679702420152,0.30297705552954013,0.31011828744674297,0.2783764943651337,0.19885845963169735,0.2367528792789111,0.3042545163463244,0.22069544108141237,0.3074249615944532,0.206301887103309,0.29475033621762736,0.2907581797454075,0.21420705248039462,0.29269182374182345,0.2650721157279319,0.13284972881890889,0.2282291839070132,0.21921598028121325,0.38165800304839237,0.21551660158289443,0.2395853441512561,0.9999999999999998,0.24421944701711495,0.29002642007927193,0.2935614625414229,0.2710610674332181,0.23566996041841248,0.26953406583856765,0.2665342290785919,0.29211165308008336,0.18295490470563647,0.24675373942591938,0.24048074604391467,0.2386488989599711,0.20285256826296816,0.2728098538110627,0.23565328189391443
piggy bank,0.35634095715075453,0.39852863010361606,0.17424770903217435,0.3932819425515526,0.1971936705326065,0.25608497319772305,0.24433256711003304,0.27093216031097767,0.3070276870771169,0.34070898919659387,0.17049069958854401,0.3704680273427302,0.15872209743858023,0.32596821820486943,0.18030975537222282,0.2417224265671838,0.34621151163289854,0.27962026412749763,0.28047659322158136,0.2823960389071227,0.2483053087493554,0.24421944701711495,1.0,0.21747853680908857,0.19899328858168408,0.26825484856527837,0.25883587127389096,0.3035287134710529,0.22095544623653196,0.20358957286602586,0.31749415102978185,0.2701706938531191,0.3110834250743779,0.3047948896649282,0.23511401547338573,0.3484446086386468,0.2860639738127906
pillow,0.2806888929866609,0.2983045303736589,0.532597030006276,0.40381120207798094,0.26453475676060345,0.40459967583351575,0.41777271045941156,0.35692486490039477,0.30645399527442485,0.44323964606655064,0.406356889592298,0.3243643345558631,0.25165554764430875,0.4061653171686499,0.2748397161034869,0.4316823650691708,0.3207382196707038,0.29771949917496277,0.3842573024293412,0.21497959962377,0.49411606919534024,0.29002642007927193,0.21747853680908857,1.0,0.276914517919686,0.2910322951853688,0.4295193641880153,0.42897025736389605,0.24323811197068546,0.32983207313824314,0.3218004804807555,0.30789071791350153,0.3411804936384849,0.2734689036738558,0.2481721428775887,0.35885528613288264,0.3811257209494415
radio,0.2797195929799783,0.2656559784200565,0.4119147863003576,0.3228625059426934,0.3103380700698235,0.2517613610315097,0.2213224254200521,0.2495779226597249,0.4339805287020029,0.3595336084148629,0.2802497456485281,0.29941281241681716,0.304225283546283,0.2177988483018427,0.2973393913888287,0.22463655461047727,0.16507562034489076,0.3647538298708093,0.4165807507432455,0.41598808914145724,0.35160249145861844,0.2935614625414229,0.19899328858168408,0.276914517919686,1.0,0.30041485493187037,0.14616104108442618,0.23047693815255232,0.25406521670692306,0.4096756863474227,0.1998647890387597,0.2837508157103491,0.3038099662049072,0.2753555325504178,0.2747696108694726,0.26680873444362363,0.2310038542064785
record player,0.31310226279420816,0.26364235306930994,0.21495239626688056,0.27962214958577625,0.2266997538476646,0.28120862084086196,0.23515739308380312,0.24504209230367024,0.2513883810961748,0.2863118759128416,0.25021105525055387,0.31965582142103366,0.28411236488327085,0.37082189651702313,0.26501594167679676,0.12702368872925418,0.28950969554502237,0.3995897534429036,0.34469666872525817,0.2954741367873934,0.230612842714919,0.2710610674332181,0.26825484856527837,0.2910322951853688,0.30041485493187037,1.0,0.38322165632201366,0.25073475336260764,0.119805246345278,0.2932455269772354,0.24891205455909537,0.2405324003159789,0.3476246094381291,0.34763326403376504,0.3998119236514519,0.28243240164854555,0.25155661097998805
rocking chair,0.33087980636776537,0.1989062850843054,0.23607136639426596,0.33443615067826116,0.12620467900735655,0.3170243020542558,0.7207378095220974,0.39284198661939707,0.2344361066662345,0.4527955713040728,0.3261572707582454,0.4547326080437709,0.24745193111577812,0.35925904430106037,0.20742007396763973,0.36129020259232947,0.7199692021667782,0.27914743260479524,0.35981526430639477,0.18431220109605007,0.32973928506466677,0.23566996041841248,0.25883587127389096,0.4295193641880153,0.14616104108442618,0.38322165632201366,1.0,0.4064551957446316,0.11765530851869299,0.4579002661646401,0.21620027598854963,0.45243515417586566,0.3352479182064536,0.33495894488473354,0.35067166463959376,0.31236621416768884,0.395026669892391
rug,0.3088082754290342,0.28596130698435207,0.4330297401042231,0.3743533024235377,0.18857515914374867,0.3267770975234081,0.4072751579178624,0.41943786086657264,0.3359822514711466,0.436675237282254,0.38125737499394685,0.37477141070064635,0.37773681157732375,0.46483079778599456,0.24766255091492784,0.41698215681392803,0.38833968813526243,0.30620639948684836,0.35351108614918014,0.25152118062031315,0.47531715072476277,0.26953406583856765,0.3035287134710529,0.42897025736389605,0.23047693815255232,0.25073475336260764,0.4064551957446316,0.9999999999999998,0.19778248005691612,0.29352820614622677,0.2616442157009209,0.43461149874387006,0.35313805375284124,0.277905491357195,0.4974480435999612,0.33296926600381394,0.3186769827969874
safe,0.15713761062026577,0.28395346180679415,0.3265430117250828,0.3129300946558988,0.18140297212192058,0.20402853389614206,0.17989616907804096,0.13330261248272013,0.24719448167149294,0.26887224386430186,0.1541028176237471,0.2992932234831355,0.12021415941134395,0.33577543163011214,0.26529593477274105,0.2253350755488508,0.21029292590153736,0.1786551062130889,0.23533610813981753,0.14282169383914178,0.311542304204536,0.2665342290785919,0.22095544623653196,0.24323811197068546,0.25406521670692306,0.119805246345278,0.11765530851869299,0.19778248005691612,1.0,0.21978349869275793,0.299259700687848,0.1837478876839964,0.2892699207194398,0.23415869864455652,0.17891254003619228,0.13383809903184907,0.17533007903974074
speaker,0.21046314433742297,0.31398515042556463,0.3105505163302129,0.3821878302335875,0.23147767714051803,0.3095380046930266,0.6490636386320883,0.31573317999166994,0.3473134266228832,0.3709808000194006,0.2565102006257991,0.43712204006113486,0.19102188196193104,0.3881439096382986,0.3038401752158446,0.23334429239291876,0.5300707163349836,0.23338750322528445,0.3918017154024558,0.23140962130909615,0.26638764571768236,0.29211165308008336,0.20358957286602586,0.32983207313824314,0.4096756863474227,0.2932455269772354,0.4579002661646401,0.29352820614622677,0.21978349869275793,0.9999999999999999,0.23516871550553797,0.34274730055972547,0.44338472059501155,0.38474563731112865,0.24338715425244362,0.28430488207480464,0.2579322653028686
stocking,0.2961549615102348,0.44494669731509773,0.3378190165544841,0.3196688391465372,0.3280026442071384,0.380722674318448,0.24662247744479215,0.3030817756120612,0.2910858686024844,0.3186247510090069,0.2581505359464067,0.37076948506040597,0.1945417574104773,0.39350893480478366,0.22052654973671282,0.2186294080781912,0.22361684014233818,0.2249598318524747,0.3116082556778098,0.24705990726897487,0.33517411520575513,0.18295490470563647,0.31749415102978185,0.3218004804807555,0.1998647890387597,0.24891205455909537,0.21620027598854963,0.2616442157009209,0.299259700687848,0.23516871550553797,1.0,0.3387266395332511,0.3459609581255725,0.364435964430349,0.18974670855354692,0.31688554891360265,0.4179209650574538
stool,0.3425211374696182,0.3590423562220477,0.3885940398470167,0.42048084774529704,0.39683284382608275,0.3506397273326778,0.5217402421677536,0.35668444321206016,0.3407406643301607,0.41438567130517656,0.3332518341588031,0.460374068347442,0.3224641510490329,0.35223641779038706,0.19434004506588298,0.32805367878809744,0.4687661967200695,0.2595559528688409,0.3917450155487323,0.31689345766178567,0.38931409005731976,0.24675373942591938,0.2701706938531191,0.30789071791350153,0.2837508157103491,0.2405324003159789,0.45243515417586566,0.43461149874387006,0.1837478876839964,0.34274730055972547,0.3387266395332511,1.0,0.4417898937441799,0.4283964492916872,0.33126725799455037,0.3872178889364464,0.3054756602985882
table,0.24848802045348284,0.2726057665715622,0.4120170461389079,0.47945673232624375,0.46953663944116253,0.35113032625148977,0.5606730619361885,0.3589123116268713,0.385816252334251,0.2924445431955205,0.22099078523900806,0.6022571331074443,0.2574496023359114,0.44910891140966447,0.22768423654402936,0.17895582556280376,0.4887165369662827,0.33820794755363104,0.45375440449261717,0.25525664367507583,0.35545000206732924,0.24048074604391467,0.3110834250743779,0.3411804936384849,0.3038099662049072,0.3476246094381291,0.3352479182064536,0.35313805375284124,0.2892699207194398,0.44338472059501155,0.3459609581255725,0.4417898937441799,1.0,0.4826325711998508,0.2123159429004462,0.340326276684799,0.2636828030837397
tray,0.49470785908632586,0.322998655793869,0.34299482342821463,0.43130046952023426,0.39906857716122324,0.3348444400350967,0.3775201030860953,0.3714213527001812,0.3514447822028136,0.3692481967548238,0.2107901450136701,0.46714229869027357,0.30218430174338407,0.39226180068451666,0.24385323469215314,0.21530380680076222,0.3749118843407967,0.35238402555175075,0.32148911236441924,0.3674762803016183,0.32058806794712214,0.2386488989599711,0.3047948896649282,0.2734689036738558,0.2753555325504178,0.34763326403376504,0.33495894488473354,0.277905491357195,0.23415869864455652,0.38474563731112865,0.364435964430349,0.4283964492916872,0.4826325711998508,1.0,0.2267280929812907,0.3340390325958713,0.3752871137244719
treadmill,0.33187341857625663,0.24599095040682917,0.31195759622951935,0.39723320985449695,0.1151036998431576,0.22415967901374811,0.2634597675010746,0.24597931774683235,0.29576401178704326,0.335109699452354,0.2875689821742501,0.2940142615926651,0.30464887341001,0.3485493080943285,0.26565394882122584,0.2792793191007895,0.2600027544436654,0.23933856032413625,0.2796667175796175,0.2745992692045185,0.3455365820552784,0.20285256826296816,0.23511401547338573,0.2481721428775887,0.2747696108694726,0.3998119236514519,0.35067166463959376,0.4974480435999612,0.17891254003619228,0.24338715425244362,0.18974670855354692,0.33126725799455037,0.2123159429004462,0.2267280929812907,1.0,0.19449587297775417,0.0813950369555696
vase,0.390673393408282,0.3796486235386014,0.27200266753990765,0.25608083937512127,0.17317921548738213,0.4582759964890284,0.33427828179906616,0.4376043203845347,0.27398970852000537,0.3104039402778733,0.3196479780125734,0.33132885711824556,0.2765245185249827,0.3737803158840589,0.21459089518189767,0.23056714376510534,0.29559713223470174,0.25839121744790705,0.4301203297440588,0.22413414419833222,0.2950374530251101,0.2728098538110627,0.3484446086386468,0.35885528613288264,0.26680873444362363,0.28243240164854555,0.31236621416768884,0.33296926600381394,0.13383809903184907,0.28430488207480464,0.31688554891360265,0.3872178889364464,0.340326276684799,0.3340390325958713,0.19449587297775417,1.0,0.4204146697442319
wreath,0.3676746194242808,0.4127924627093962,0.25769379040703544,0.21691511400349395,0.3232556408188536,0.44108214950188906,0.29805450694574864,0.4451532402002434,0.28239646410508434,0.4270902262700471,0.30772879538381215,0.28735173426077176,0.32427038415995457,0.34413086559477657,0.2626102994647612,0.3034832154223247,0.2777083136053935,0.1794071241142915,0.38407040837330775,0.2294912364047602,0.3241378810826365,0.23565328189391443,0.2860639738127906,0.3811257209494415,0.2310038542064785,0.25155661097998805,0.395026669892391,0.3186769827969874,0.17533007903974074,0.2579322653028686,0.4179209650574538,0.3054756602985882,0.2636828030837397,0.3752871137244719,0.0813950369555696,0.4204146697442319,1.0
