,box,calculator,calendar,CD,cell phone,chalk,clock,computer,envelope,eraser,fan,highlighter,keyboard,magazines,marker,newspaper,notebook,package,paper,paperclip,pen,pencil,printer,rubber bands,scissors,stamp,staple remover,stapler,staples,typewriter
fan,0.28619705265778794,0.15761954923374133,0.1885478442088464,0.3119869806915303,0.2783151276712379,0.27181922194181163,0.26430844500252104,0.3832222848983622,0.2477073248063264,0.21339164837192204,1.0,0.17170854276537262,0.2893419891384452,0.21884392571576783,0.2716803524044453,0.3118398726014764,0.28479473635134955,0.315348147207246,0.31063675313101713,0.17516836081401743,0.24191476594188144,0.274571397201149,0.2772548146494924,0.23405162305981908,0.21599630613788245,0.2935411491814307,0.07434546520872287,0.13984525480372756,0.15688480873188682,0.1751811394980407
highlighter,0.2542557212838905,0.21390933956806502,0.22335013036123819,0.2530733235387006,0.276860056637692,0.40302891122818174,0.189916791524396,0.18054915095486934,0.3534209869280025,0.3626682474840719,0.17170854276537262,1.0,0.2554682791329077,0.42204568307060353,0.48330443198404427,0.27727491979320007,0.3367268687317202,0.3338521148094582,0.368301757851767,0.38114269573230664,0.3302569708615757,0.38723556220008226,0.2604473355246948,0.2612557779887925,0.30997076048784766,0.30774481732601067,0.32363483053243103,0.3164595557200083,0.3275884104075998,0.27338341315857395
keyboard,0.400447527256264,0.35923369674536965,0.36376336009541577,0.2864113881945374,0.40192276601661625,0.26023725566550904,0.38667441729617824,0.562811954501373,0.2970230305831627,0.30041256172596587,0.2893419891384452,0.2554682791329077,0.9999999999999998,0.2304412945514276,0.3702832985314878,0.3442603088640517,0.3934349646756421,0.28235073876743977,0.3357183309580638,0.21887824862777217,0.4132640219285042,0.41140248445844985,0.35553401731827805,0.19395517530036144,0.2533919529058505,0.3828864108990221,0.15744127939760344,0.24659463075253307,0.2479171261443779,0.5316810354309297
magazines,0.21558672233866405,0.24283522675604385,0.31363814632575304,0.3064414823072409,0.40024448837459037,0.2481866434634672,0.2637240455775375,0.28370377032117244,0.2776344454231495,0.2558239304692014,0.21884392571576783,0.42204568307060353,0.2304412945514276,1.0,0.29791931909453706,0.5267860125504517,0.37818602550124236,0.32729165230512036,0.3945922153574064,0.3142175002172738,0.23130372243943853,0.31066939746277067,0.3148664682693274,0.2520632503056308,0.3058751620638722,0.32323064242718536,0.21024221396277132,0.2768877087164958,0.3789579046501088,0.24189953597890745
marker,0.28944265039563577,0.3262782408588578,0.30990094553054903,0.26265519771315815,0.3284951164385075,0.44060781896448287,0.262329306637618,0.24049679353610787,0.3543375962902737,0.5471135035108932,0.2716803524044453,0.48330443198404427,0.3702832985314878,0.29791931909453706,1.0,0.4006865554331748,0.3650818728919978,0.2806113138267903,0.40263202383737495,0.31912277190839045,0.516644371185509,0.47846213806414317,0.3548098778453721,0.23794532841252058,0.31217153987555346,0.48361983875768755,0.29089493621937257,0.3830621979009481,0.3329323272238287,0.3327005708438806
newspaper,0.3958615036760428,0.24763591110897132,0.43089187690778996,0.3037049364305553,0.3151886527461085,0.3363432941833113,0.332351207329046,0.3615692693152244,0.3046476307007999,0.28557622717396813,0.3118398726014764,0.27727491979320007,0.3442603088640517,0.5267860125504517,0.4006865554331748,1.0,0.42992104731162506,0.3435161259340265,0.7062638545597921,0.27723350163677707,0.3859289451889125,0.3408425718874314,0.4388779669730525,0.16630005802382464,0.2839958575601782,0.42158209324130347,0.17510996438302195,0.2892702366251966,0.37565214288167625,0.3530425222542244
notebook,0.3283276198408811,0.30176163979732373,0.3687202709891554,0.28027099400095157,0.4561319195241844,0.21010025589711312,0.2144734709617564,0.4426144114965468,0.28198967846281575,0.32680063992766306,0.28479473635134955,0.3367268687317202,0.3934349646756421,0.37818602550124236,0.3650818728919978,0.42992104731162506,1.0,0.3495375554214666,0.4763984479378006,0.27167018424479983,0.41946196817760506,0.4217656852147661,0.32339823796747946,0.2032468674202892,0.3021388751114087,0.21475694990964378,0.20716725726166973,0.36373791932242416,0.4157909710266652,0.4147304803598614
package,0.607565751891093,0.18798246083898207,0.40538028063590326,0.3238085040369433,0.3132353482381012,0.22991271141607517,0.2942771398307069,0.38091615950740254,0.5089857525787628,0.23296123415683412,0.315348147207246,0.3338521148094582,0.28235073876743977,0.32729165230512036,0.2806113138267903,0.3435161259340265,0.3495375554214666,0.9999999999999998,0.4241856101216359,0.2286178112040026,0.23607015593484038,0.25729753378406095,0.37883902457598406,0.23040196170524563,0.2770744105841094,0.3870961096390897,0.19059170861156505,0.2076942314886685,0.2415144805457754,0.14901060210281258
paper,0.4321666191782555,0.29492474249882883,0.3622634020932315,0.38570218783394483,0.4161763911486427,0.3910532728403061,0.2894957162638444,0.42324552075986666,0.42054900890186087,0.3902823766686643,0.31063675313101713,0.368301757851767,0.3357183309580638,0.3945922153574064,0.40263202383737495,0.7062638545597921,0.4763984479378006,0.4241856101216359,1.0,0.4304246829664641,0.5017681506952846,0.4463666080623765,0.539490652131357,0.29918190682615464,0.46742048661261504,0.48070915851170315,0.288552046468902,0.43578967770887955,0.4856990132600254,0.4163269764962212
paperclip,0.2160930926712723,0.2692750082542137,0.11321030725060521,0.3007780735852186,0.29702737236127974,0.28366894152616684,0.19201526257767498,0.2225722351866236,0.3579281102557055,0.3610335754098599,0.17516836081401743,0.38114269573230664,0.21887824862777217,0.3142175002172738,0.31912277190839045,0.27723350163677707,0.27167018424479983,0.2286178112040026,0.4304246829664641,1.0,0.35773821031673647,0.40868364363708853,0.3174444771380893,0.3970462391971801,0.47576577272099196,0.3389917743760946,0.40963872159715187,0.47540847389806296,0.3816610928556303,0.3774367062246471
pen,0.32959777423827785,0.310856787066491,0.22646840594477202,0.31821851403360424,0.3568044674220736,0.37247629799285586,0.3331768156178634,0.27905960949671205,0.39405151723039844,0.5436085106969657,0.24191476594188144,0.3302569708615757,0.4132640219285042,0.23130372243943853,0.516644371185509,0.3859289451889125,0.41946196817760506,0.23607015593484038,0.5017681506952846,0.35773821031673647,1.0,0.6826125536430978,0.3048634386595629,0.2640124035310403,0.4025018843773932,0.41176653709955546,0.25895454776048266,0.4073915119497393,0.3337738407568134,0.49780584937857664
pencil,0.23613866363007785,0.3682621145160231,0.3189358235773847,0.24852119595740096,0.4034396400613942,0.4597148421504431,0.3139229204229389,0.3564985937541443,0.2924520879650857,0.5666551719531903,0.274571397201149,0.38723556220008226,0.41140248445844985,0.31066939746277067,0.47846213806414317,0.3408425718874314,0.4217656852147661,0.25729753378406095,0.4463666080623765,0.40868364363708853,0.6826125536430978,1.0,0.37828169437806713,0.27575170137019844,0.45925728272914546,0.431282535085588,0.3470473889308052,0.404053778046469,0.42568516313787397,0.4401654037282585
printer,0.2717006953274267,0.36682734161154085,0.3522699702355785,0.383305875707896,0.3770769880211967,0.32234534247854163,0.36745134584606554,0.5340465477239782,0.3410028055210582,0.2877705333458258,0.2772548146494924,0.2604473355246948,0.35553401731827805,0.3148664682693274,0.3548098778453721,0.4388779669730525,0.32339823796747946,0.37883902457598406,0.539490652131357,0.3174444771380893,0.3048634386595629,0.37828169437806713,1.0,0.19614949680594385,0.31864959306279617,0.46207456286292603,0.3048490838049156,0.37687228812137474,0.4295950593479171,0.39844156491930627
rubber bands,0.17570711144452034,0.283683433766873,0.15829853044361897,0.23060011266725966,0.291475547282662,0.30114709197438416,0.16945887612892985,0.14044898051154964,0.24746836074829104,0.4087082888924377,0.23405162305981908,0.2612557779887925,0.19395517530036144,0.2520632503056308,0.23794532841252058,0.16630005802382464,0.2032468674202892,0.23040196170524563,0.29918190682615464,0.3970462391971801,0.2640124035310403,0.27575170137019844,0.19614949680594385,1.0,0.3969076902562907,0.24366143076462576,0.3536021171673961,0.45997330162364514,0.39296105583390983,0.15257389158247858
scissors,0.2498413613389714,0.28745340360915794,0.13946301421938412,0.20137966336909852,0.39939970494646126,0.2743816285264893,0.26105247182117597,0.2989447748494083,0.3106708768029981,0.4405533149499574,0.21599630613788245,0.30997076048784766,0.2533919529058505,0.3058751620638722,0.31217153987555346,0.2839958575601782,0.3021388751114087,0.2770744105841094,0.46742048661261504,0.47576577272099196,0.4025018843773932,0.45925728272914546,0.31864959306279617,0.3969076902562907,1.0,0.3583081612768728,0.5209169890296119,0.42921979615681016,0.4661471286772787,0.3281192851221617
stamp,0.3565490819392554,0.29713513011287673,0.34788637981194537,0.22695980488472023,0.2868800528617743,0.37758848623725394,0.4302256756235988,0.2903426704401859,0.5354584951457924,0.4158281993567261,0.2935411491814307,0.30774481732601067,0.3828864108990221,0.32323064242718536,0.48361983875768755,0.42158209324130347,0.21475694990964378,0.3870961096390897,0.48070915851170315,0.3389917743760946,0.41176653709955546,0.431282535085588,0.46207456286292603,0.24366143076462576,0.3583081612768728,1.0,0.25438775595015684,0.33188523950158255,0.3114016563612839,0.44439475292134556
staple remover,0.13311978343106556,0.24379565728528751,0.09245588510795533,0.14736734739727742,0.2563682809615023,0.3247317944301429,0.10226396734410781,0.16966437195636164,0.24601718316760357,0.3938384169534538,0.07434546520872287,0.32363483053243103,0.15744127939760344,0.21024221396277132,0.29089493621937257,0.17510996438302195,0.20716725726166973,0.19059170861156505,0.288552046468902,0.40963872159715187,0.25895454776048266,0.3470473889308052,0.3048490838049156,0.3536021171673961,0.5209169890296119,0.25438775595015684,0.9999999999999998,0.6024891580086794,0.6217597826636718,0.2189862880235688
stapler,0.2687467350668944,0.29107343332534374,0.24841861208631777,0.20621637912234037,0.34912186354821895,0.3505787418401505,0.27349849464621445,0.23318209521484,0.40063776645396443,0.4513055613693493,0.13984525480372756,0.3164595557200083,0.24659463075253307,0.2768877087164958,0.3830621979009481,0.2892702366251966,0.36373791932242416,0.2076942314886685,0.43578967770887955,0.47540847389806296,0.4073915119497393,0.404053778046469,0.37687228812137474,0.45997330162364514,0.42921979615681016,0.33188523950158255,0.6024891580086794,0.9999999999999998,0.6163983032412274,0.41225103366588867
staples,0.24582544812082274,0.2859533601086752,0.21162455364354382,0.1752839899911327,0.3390313691514817,0.3777961742607654,0.21010028661971036,0.34153455080880535,0.27807689150667303,0.43086143229677876,0.15688480873188682,0.3275884104075998,0.2479171261443779,0.3789579046501088,0.3329323272238287,0.37565214288167625,0.4157909710266652,0.2415144805457754,0.4856990132600254,0.3816610928556303,0.3337738407568134,0.42568516313787397,0.4295950593479171,0.39296105583390983,0.4661471286772787,0.3114016563612839,0.6217597826636718,0.6163983032412274,1.0,0.30498455262497426
typewriter,0.24548074765037264,0.32637518209297156,0.2223172714267566,0.1836261228486662,0.3704322572459391,0.23294734654380556,0.32543696697148916,0.385746935868049,0.3312762930997113,0.3887887056938355,0.1751811394980407,0.27338341315857395,0.5316810354309297,0.24189953597890745,0.3327005708438806,0.3530425222542244,0.4147304803598614,0.14901060210281258,0.4163269764962212,0.3774367062246471,0.49780584937857664,0.4401654037282585,0.39844156491930627,0.15257389158247858,0.3281192851221617,0.44439475292134556,0.2189862880235688,0.41225103366588867,0.30498455262497426,1.0
