,axe,battery,brick,broom,bucket,chain,dustpan,flashlight,flyswatter,funnel,hammer,hinge,hose,iron,ironing board,jack,key,ladder,lawn mower,light switch,lightbulb,lighter,magnet,match,mop,mousetrap,nail,paintbrush,plug,rake,rope,saw,screw,screwdriver,shovel,springs,thermometer,vacuum,wrench
hammer,0.46696800085980394,0.35357373678608095,0.43616973805849946,0.36113025909436225,0.2995863988213352,0.44288933622311877,0.4146810909976213,0.3129985623054483,0.3564008060600773,0.2244574517961503,1.0,0.36257328095214425,0.3668573019769168,0.3805373863064423,0.24851749086844477,0.28264371192957816,0.3934083864847624,0.34877202729970025,0.30314948790877194,0.32716767094385024,0.3982003510820358,0.2228794607334662,0.3529334802091503,0.22821826853206495,0.31135246641216896,0.34745703420158414,0.5235329921797225,0.39698509434223783,0.3342051715090937,0.2998377212753076,0.3905027041818201,0.3830757190567191,0.4326385088381044,0.4986931237753677,0.45087246552449567,0.23320856972469883,0.2869000176983899,0.3041820595404674,0.5530933072885075
hinge,0.25482757294943736,0.247766682537226,0.33132951458937243,0.23262934552135472,0.28892926712113787,0.2534511459575687,0.35143896754588455,0.21346847622636478,0.22288595039943138,0.25276110230167137,0.36257328095214425,1.0,0.25819200485408844,0.30395359138751066,0.22266773349815716,0.11481532133985128,0.3712659840793353,0.2839386577507208,0.1884649155924788,0.29183547698511014,0.2909462230240678,0.2086012387443803,0.351376604619031,0.15712312758681324,0.285455452717859,0.29675380634816473,0.3437595849388222,0.1937019301358367,0.2509899719946582,0.2587525734388956,0.3255834178066206,0.17428395698811516,0.2932627654961122,0.330390845773066,0.32637660369153165,0.3153529829004498,0.27005142427060924,0.23308045834203017,0.39886130296227373
hose,0.34598524397150865,0.3360881034798364,0.33070961708578217,0.46077461244786677,0.4208997086024643,0.3623332053080244,0.46576038177615153,0.3556423936427362,0.42986526140804315,0.4331150281461551,0.3668573019769168,0.25819200485408844,0.9999999999999998,0.27974618312817756,0.2540759724432641,0.24553734632095314,0.2267911231749784,0.31442714357973944,0.3640170793804115,0.3073519999719939,0.3822526506546762,0.2984058465883367,0.2578377513030393,0.2717020132034986,0.391840495416669,0.31939686935224043,0.402936072276318,0.41877021481233445,0.4658428047572617,0.34656003189729523,0.49980484737106456,0.308204415497487,0.3214101308312671,0.29684541040225565,0.420010356270786,0.29224352491073224,0.415943681171389,0.42408938119087924,0.34879844549752637
iron,0.37666479280791754,0.35011919246980694,0.3422582015023765,0.2561524867723364,0.2211679970048266,0.3787346620182903,0.3632873832642928,0.16377684317915975,0.3137942640572706,0.24115723373580777,0.3805373863064423,0.30395359138751066,0.27974618312817756,1.0,0.6227912823691234,0.2468927893352051,0.29770689328872235,0.4078427227343542,0.2362668270312931,0.222576388769948,0.32163540126854007,0.3418993184677851,0.4695607013958938,0.2862726197993446,0.26158467827669596,0.22775584876377164,0.36131935948731475,0.3004871221766493,0.34306009558793515,0.23331838709400055,0.3559239700618013,0.2273389245927322,0.3219406582086535,0.3076539639103564,0.237204599450892,0.302490771467242,0.27020647885096893,0.2799938676214282,0.31017375087818755
ironing board,0.22684064056603281,0.22585387474060825,0.24658703326805487,0.2897471465596797,0.20851043035717054,0.2558819071491245,0.39837287495036067,0.09816600451326107,0.25501591007263436,0.16603904892338883,0.24851749086844477,0.22266773349815716,0.2540759724432641,0.6227912823691234,1.0,0.20374544126344785,0.19140477908575237,0.33798028905655453,0.26539186091774736,0.2802829805375331,0.25062307832113995,0.24318927158572778,0.3469738659781101,0.25904355364435117,0.3446899115318648,0.2873353899114729,0.30846289452689635,0.29595674529204896,0.3223612238215876,0.2361185463990504,0.3485555092610597,0.18993104547274897,0.2552682499128778,0.18542702069172567,0.24163174814322552,0.201101554701131,0.2685625825619973,0.31748509872328223,0.1573389019736403
jack,0.3175342327108621,0.22834260587733946,0.32605243879262646,0.19798885947336342,0.21514181931638188,0.25481471525739374,0.27338759115592226,0.12499263201244815,0.24154708827021598,0.16365299487743046,0.28264371192957816,0.11481532133985128,0.24553734632095314,0.2468927893352051,0.20374544126344785,1.0,0.3104022095969452,0.2900152126340554,0.18226533942571965,0.18626023239545786,0.20643672884915554,0.24411894683330526,0.1655289841445029,0.23128897905934276,0.2355484775151786,0.27762659304871096,0.26108550468085123,0.15005372530049377,0.37935231511496603,0.20375105147197914,0.2909075831907706,0.3095915928683999,0.3084993671792209,0.29546121105585144,0.15952945923848827,0.24252696378612393,0.1974846038560676,0.18798183039339356,0.2278325230690581
key,0.3215750356550082,0.4366753388299498,0.2115768561899205,0.20836199119751164,0.3022110458871783,0.3781339014638292,0.3542637994346066,0.3019964983349612,0.28663821333724404,0.1913461883980745,0.3934083864847624,0.3712659840793353,0.2267911231749784,0.29770689328872235,0.19140477908575237,0.3104022095969452,1.0,0.3881668457323292,0.1613102529143673,0.22433168288030747,0.28709989715793083,0.28702966233631266,0.3609355684854336,0.35350180602221093,0.2446424685344425,0.28043285630586845,0.2831350000913889,0.27318062374207397,0.33037306062567706,0.18079122995402752,0.3290427343236112,0.3162295922254963,0.2967202854436404,0.3407971038264763,0.2599568354037758,0.287622872180191,0.2874950657177381,0.23231257472942557,0.673653908190892
ladder,0.39982259028903466,0.29189758757536677,0.29708655804712514,0.36827113836096603,0.3065936302651522,0.3228360949063239,0.44855442062242445,0.24118417616377397,0.370050529316325,0.3526199523333339,0.34877202729970025,0.2839386577507208,0.31442714357973944,0.4078427227343542,0.33798028905655453,0.2900152126340554,0.3881668457323292,1.0,0.29433481319776744,0.29437878779547033,0.38082243011051187,0.26710867097593205,0.30201830442552113,0.35921894245854147,0.39879513552318335,0.3540734299872269,0.2990998780190717,0.2756581213538045,0.37715625026497246,0.3823559726900577,0.47198632510805894,0.2884788230433357,0.34801098111437223,0.24317584320022811,0.2606120623294991,0.24868430727869395,0.2998798911355578,0.3195409751754996,0.34281849090889094
lawn mower,0.2610753276289386,0.32329235164475856,0.3009568703830393,0.39753459488273757,0.30016819069350564,0.3319041589956744,0.39206940967260184,0.2925185746723662,0.2540641734725715,0.24981906955128186,0.30314948790877194,0.1884649155924788,0.3640170793804115,0.2362668270312931,0.26539186091774736,0.18226533942571965,0.1613102529143673,0.29433481319776744,1.0,0.2475498634489235,0.3092306318543515,0.33008673954067125,0.2529214835942606,0.23264408038165874,0.27361261959385375,0.2581206132743572,0.3404228065754473,0.30444914662191236,0.3403199389706808,0.4386197986833126,0.35341195440799267,0.3249327014105132,0.3049005984814651,0.3346823676648022,0.37655757087961095,0.184374846666439,0.26316558000787005,0.3822703286581359,0.2969892012005356
light switch,0.19085311734421417,0.38355423994179216,0.32641391467527137,0.3242782759688514,0.27840767016374524,0.21106880989580346,0.32790659958491175,0.41038618441602126,0.24355592504532586,0.2523095287249373,0.32716767094385024,0.29183547698511014,0.3073519999719939,0.222576388769948,0.2802829805375331,0.18626023239545786,0.22433168288030747,0.29437878779547033,0.2475498634489235,1.0,0.5559936196989017,0.4542065978395895,0.22020536806349966,0.26297698825420257,0.32789908222884323,0.2580576079666109,0.3244226306262443,0.28111879624135205,0.39034167111739837,0.2384503138193953,0.3029360477427824,0.3083606966828081,0.3040859263781217,0.30067685160688395,0.26573772428553655,0.21071567539146074,0.30833628878656016,0.32988866285981866,0.2303954333099434
lightbulb,0.3040930748715469,0.37651083734625934,0.40880072702756154,0.4397036352997262,0.329301736632587,0.2483644319862487,0.512684897938608,0.5855908253484924,0.3591033018330947,0.31857649451987125,0.3982003510820358,0.2909462230240678,0.3822526506546762,0.32163540126854007,0.25062307832113995,0.20643672884915554,0.28709989715793083,0.38082243011051187,0.3092306318543515,0.5559936196989017,0.9999999999999998,0.3921100301365352,0.2834753924077448,0.2000364583460318,0.27535795039338007,0.3953347515810163,0.3651845222773671,0.3485876204727185,0.4939312971148796,0.2944146102358254,0.34504793042453374,0.3313915619818566,0.3697938122278579,0.4325731933123794,0.20792231222561997,0.2540770488527333,0.42536208997918656,0.43808393036297655,0.3651852974514267
lighter,0.17883544355924474,0.3808322652196603,0.23787963977018067,0.39883544362244905,0.2963702027191938,0.18173629779696254,0.428397613601188,0.5186722264442769,0.3794992504294704,0.30434552036817886,0.2228794607334662,0.2086012387443803,0.2984058465883367,0.3418993184677851,0.24318927158572778,0.24411894683330526,0.28702966233631266,0.26710867097593205,0.33008673954067125,0.4542065978395895,0.3921100301365352,1.0,0.286877280958149,0.3588524331299139,0.33207761158370996,0.247764944173003,0.269157896184268,0.24050778958771668,0.28498062480072917,0.23731460702605212,0.37260255906291884,0.26999239068542935,0.22207176197649425,0.28569825795306647,0.26477669620200617,0.22475960576156506,0.3121316984231082,0.2903890255526046,0.2353576105280274
magnet,0.3289795886975404,0.30213714954365334,0.3262956602120519,0.36400361858180075,0.2695897557220155,0.29103426804048704,0.4015762615183407,0.16314885405895874,0.3269401758116266,0.23118359039316283,0.3529334802091503,0.351376604619031,0.2578377513030393,0.4695607013958938,0.3469738659781101,0.1655289841445029,0.3609355684854336,0.30201830442552113,0.2529214835942606,0.22020536806349966,0.2834753924077448,0.286877280958149,1.0,0.19493298099225254,0.19354936703436754,0.3004590514976615,0.35619315489315084,0.330995501742106,0.21249697468083562,0.2202738028220682,0.2670900991581091,0.17600001639268736,0.3070376488881357,0.3752712752831282,0.22848752481963341,0.22574801629802466,0.19946397661303406,0.2468278046845518,0.38609429508748394
match,0.20822839854912412,0.3060712248996642,0.2535234668939632,0.17195487177406887,0.20505978193579855,0.33117912760358625,0.3553775642280479,0.23515464333655978,0.2648449211338868,0.17302118642185016,0.22821826853206495,0.15712312758681324,0.2717020132034986,0.2862726197993446,0.25904355364435117,0.23128897905934276,0.35350180602221093,0.35921894245854147,0.23264408038165874,0.26297698825420257,0.2000364583460318,0.3588524331299139,0.19493298099225254,1.0,0.184501158183615,0.2761010522743903,0.303538230671375,0.12515568470427174,0.32356945790080727,0.22192685531944312,0.3631753056621845,0.31982832067810696,0.25454436604617525,0.20192550740995052,0.21234565246440318,0.23334679002684844,0.31467129292880647,0.21963495646946818,0.20536155896056507
mop,0.284321180062997,0.21424492750312463,0.14370876146303668,0.5642414259276379,0.3442961270556668,0.23051294675345246,0.5161086288441827,0.18114443419227388,0.3681966583187648,0.29503365496931666,0.31135246641216896,0.285455452717859,0.391840495416669,0.26158467827669596,0.3446899115318648,0.2355484775151786,0.2446424685344425,0.39879513552318335,0.27361261959385375,0.32789908222884323,0.27535795039338007,0.33207761158370996,0.19354936703436754,0.184501158183615,1.0,0.24432733526330397,0.2904337859420463,0.3831917001191514,0.3455886566282935,0.3296767015164255,0.3144675103392165,0.2662163171045402,0.28880680738820375,0.15688951559045283,0.3187978845049002,0.11441016439170748,0.2402971378863188,0.39613543351366265,0.21490983479835546
mousetrap,0.3403440427893252,0.348998552618365,0.2477209138134553,0.33330069461435086,0.2816365085792082,0.2865369617232665,0.4809984845027293,0.3249007954693084,0.49648765800302863,0.3151092603821173,0.34745703420158414,0.29675380634816473,0.31939686935224043,0.22775584876377164,0.2873353899114729,0.27762659304871096,0.28043285630586845,0.3540734299872269,0.2581206132743572,0.2580576079666109,0.3953347515810163,0.247764944173003,0.3004590514976615,0.2761010522743903,0.24432733526330397,1.0,0.33984653620325567,0.281055250720762,0.35964195533507337,0.2681633975091462,0.4689913375078023,0.25959281503801324,0.4290231090557586,0.32896551627979453,0.2886285598116627,0.2438662819854478,0.30479373662781495,0.31309456515861833,0.33047158320292425
nail,0.34922350751460596,0.26251402899640874,0.40318131060259366,0.3853474046087806,0.33379538421742017,0.30500030141217405,0.44639635524059473,0.21771135612045045,0.3167929874662625,0.19680835571026167,0.5235329921797225,0.3437595849388222,0.402936072276318,0.36131935948731475,0.30846289452689635,0.26108550468085123,0.2831350000913889,0.2990998780190717,0.3404228065754473,0.3244226306262443,0.3651845222773671,0.269157896184268,0.35619315489315084,0.303538230671375,0.2904337859420463,0.33984653620325567,0.9999999999999998,0.42922177712994225,0.32898652815285645,0.28882923017315165,0.4236649776900854,0.3668582853628901,0.4025380581312721,0.4011822328017136,0.3871061692586595,0.22260895454819885,0.35245852948460477,0.3111368471394421,0.34927462543345134
paintbrush,0.3478873190160767,0.29452168578206694,0.3444609418667066,0.48916690749404335,0.42326582633497,0.22803590863095058,0.45609035889604654,0.2987460076153018,0.3109390282698925,0.2594591413899099,0.39698509434223783,0.1937019301358367,0.41877021481233445,0.3004871221766493,0.29595674529204896,0.15005372530049377,0.27318062374207397,0.2756581213538045,0.30444914662191236,0.28111879624135205,0.3485876204727185,0.24050778958771668,0.330995501742106,0.12515568470427174,0.3831917001191514,0.281055250720762,0.42922177712994225,1.0,0.310599410584097,0.31859265393809655,0.25073332088867517,0.2681840752921656,0.2745026751003775,0.27155743988826697,0.3575702609901624,0.09145215931009121,0.31036558993634844,0.3272428350719805,0.3461298431469686
plug,0.32081396571017184,0.43585773545425077,0.3148046650869011,0.33002641924445986,0.4171650798281161,0.3804540971772261,0.4814147455831672,0.3307026039653025,0.33497963591565594,0.41145723614141305,0.3342051715090937,0.2509899719946582,0.4658428047572617,0.34306009558793515,0.3223612238215876,0.37935231511496603,0.33037306062567706,0.37715625026497246,0.3403199389706808,0.39034167111739837,0.4939312971148796,0.28498062480072917,0.21249697468083562,0.32356945790080727,0.3455886566282935,0.35964195533507337,0.32898652815285645,0.310599410584097,1.0,0.29756095517283665,0.4111995885114961,0.29618649807913267,0.4504032325684315,0.3299221785511791,0.31166745969948983,0.26652829967051916,0.400486891898004,0.42404149342405373,0.30815209408148847
rake,0.27507201165180395,0.31020141914837107,0.3444455318590415,0.48947529199782214,0.3376343041954676,0.3291165040443854,0.42280467094099294,0.248526334846495,0.3860856858554025,0.3149011439838104,0.2998377212753076,0.2587525734388956,0.34656003189729523,0.23331838709400055,0.2361185463990504,0.20375105147197914,0.18079122995402752,0.3823559726900577,0.4386197986833126,0.2384503138193953,0.2944146102358254,0.23731460702605212,0.2202738028220682,0.22192685531944312,0.3296767015164255,0.2681633975091462,0.28882923017315165,0.31859265393809655,0.29756095517283665,0.9999999999999998,0.3383381754838315,0.21356171350624453,0.2950439781332297,0.25661333483843174,0.39855879855603815,0.3156726705547389,0.18664983438460114,0.3968777416901774,0.26937059680583086
rope,0.35461802527904207,0.348695441697223,0.41948885697098237,0.32424491842374104,0.3545794162679381,0.5766955551300174,0.40695294285139716,0.3796125191252617,0.3922226063721984,0.38027196078056125,0.3905027041818201,0.3255834178066206,0.49980484737106456,0.3559239700618013,0.3485555092610597,0.2909075831907706,0.3290427343236112,0.47198632510805894,0.35341195440799267,0.3029360477427824,0.34504793042453374,0.37260255906291884,0.2670900991581091,0.3631753056621845,0.3144675103392165,0.4689913375078023,0.4236649776900854,0.25073332088867517,0.4111995885114961,0.3383381754838315,1.0,0.32678572570312914,0.3711045763301901,0.2658958880951727,0.39222345482040755,0.2926153796544547,0.3163236535865379,0.2500459883765648,0.3286292540849529
saw,0.32720066709014395,0.2853117267326686,0.3243553142353601,0.2725608811273116,0.2361258787325916,0.31688611184386395,0.37491637552876167,0.2883658165545878,0.3241238195906304,0.17619987284810668,0.3830757190567191,0.17428395698811516,0.308204415497487,0.2273389245927322,0.18993104547274897,0.3095915928683999,0.3162295922254963,0.2884788230433357,0.3249327014105132,0.3083606966828081,0.3313915619818566,0.26999239068542935,0.17600001639268736,0.31982832067810696,0.2662163171045402,0.25959281503801324,0.3668582853628901,0.2681840752921656,0.29618649807913267,0.21356171350624453,0.32678572570312914,1.0,0.41257080908474886,0.23441510160134027,0.2333021269185529,0.07125740715943918,0.3123864596696373,0.255237827103144,0.2657949197254281
screw,0.3175179948382737,0.32539293785204193,0.39661942474753653,0.30699731192918467,0.37297736697858097,0.3363780201059696,0.45439460905004614,0.22536221012301938,0.33902087385614776,0.2938183255839186,0.4326385088381044,0.2932627654961122,0.3214101308312671,0.3219406582086535,0.2552682499128778,0.3084993671792209,0.2967202854436404,0.34801098111437223,0.3049005984814651,0.3040859263781217,0.3697938122278579,0.22207176197649425,0.3070376488881357,0.25454436604617525,0.28880680738820375,0.4290231090557586,0.4025380581312721,0.2745026751003775,0.4504032325684315,0.2950439781332297,0.3711045763301901,0.41257080908474886,1.0,0.4955253057906194,0.23367993187936686,0.20812889929377432,0.2872441512446482,0.33389264543298935,0.3672372732628998
screwdriver,0.33812176096350355,0.31833632958759983,0.42424512524461044,0.3092548945856133,0.26598004173823897,0.24267721678330512,0.39407125495239737,0.424039108628954,0.23654275583176787,0.3179159795912657,0.4986931237753677,0.330390845773066,0.29684541040225565,0.3076539639103564,0.18542702069172567,0.29546121105585144,0.3407971038264763,0.24317584320022811,0.3346823676648022,0.30067685160688395,0.4325731933123794,0.28569825795306647,0.3752712752831282,0.20192550740995052,0.15688951559045283,0.32896551627979453,0.4011822328017136,0.27155743988826697,0.3299221785511791,0.25661333483843174,0.2658958880951727,0.23441510160134027,0.4955253057906194,0.9999999999999998,0.2865296340412591,0.18824897414645891,0.32860325342180063,0.2178170377108759,0.5455780336063079
shovel,0.3014043477271451,0.2865393585328573,0.31042927107813467,0.3582332945299158,0.41759574861160775,0.3616323544718102,0.43682505319986653,0.31959592873968035,0.23534731135604692,0.3030500413999251,0.45087246552449567,0.32637660369153165,0.420010356270786,0.237204599450892,0.24163174814322552,0.15952945923848827,0.2599568354037758,0.2606120623294991,0.37655757087961095,0.26573772428553655,0.20792231222561997,0.26477669620200617,0.22848752481963341,0.21234565246440318,0.3187978845049002,0.2886285598116627,0.3871061692586595,0.3575702609901624,0.31166745969948983,0.39855879855603815,0.39222345482040755,0.2333021269185529,0.23367993187936686,0.2865296340412591,1.0,0.2526640408126618,0.31007328931782063,0.23941980904028304,0.4186994400553342
springs,0.15235374337262986,0.3700211817908525,0.2133522432796917,0.2444185025798079,0.2534304582919782,0.3031821985099331,0.21807892558179487,0.22460014574161313,0.22078278838509646,0.19038472219810676,0.23320856972469883,0.3153529829004498,0.29224352491073224,0.302490771467242,0.201101554701131,0.24252696378612393,0.287622872180191,0.24868430727869395,0.184374846666439,0.21071567539146074,0.2540770488527333,0.22475960576156506,0.22574801629802466,0.23334679002684844,0.11441016439170748,0.2438662819854478,0.22260895454819885,0.09145215931009121,0.26652829967051916,0.3156726705547389,0.2926153796544547,0.07125740715943918,0.20812889929377432,0.18824897414645891,0.2526640408126618,0.9999999999999998,0.2165689210349404,0.19857288447898824,0.2247042078170003
thermometer,0.21749268088115725,0.3041357519881811,0.22271172371420234,0.2302639061793409,0.2954933128904338,0.1854593849085897,0.3825541357690132,0.3674108280292552,0.25379695459668083,0.3864311015007824,0.2869000176983899,0.27005142427060924,0.415943681171389,0.27020647885096893,0.2685625825619973,0.1974846038560676,0.2874950657177381,0.2998798911355578,0.26316558000787005,0.30833628878656016,0.42536208997918656,0.3121316984231082,0.19946397661303406,0.31467129292880647,0.2402971378863188,0.30479373662781495,0.35245852948460477,0.31036558993634844,0.400486891898004,0.18664983438460114,0.3163236535865379,0.3123864596696373,0.2872441512446482,0.32860325342180063,0.31007328931782063,0.2165689210349404,0.9999999999999999,0.2790595115300947,0.3426992384173264
vacuum,0.17186691713937519,0.31552403025713993,0.3494383457690613,0.5496121171786884,0.35529699313265495,0.25516887142128664,0.6032046669475892,0.2964748904892799,0.4235887395953909,0.2990525594890917,0.3041820595404674,0.23308045834203017,0.42408938119087924,0.2799938676214282,0.31748509872328223,0.18798183039339356,0.23231257472942557,0.3195409751754996,0.3822703286581359,0.32988866285981866,0.43808393036297655,0.2903890255526046,0.2468278046845518,0.21963495646946818,0.39613543351366265,0.31309456515861833,0.3111368471394421,0.3272428350719805,0.42404149342405373,0.3968777416901774,0.2500459883765648,0.255237827103144,0.33389264543298935,0.2178170377108759,0.23941980904028304,0.19857288447898824,0.2790595115300947,1.0,0.20740366384873077
wrench,0.43935605587190674,0.35853489526583293,0.2560106809273802,0.2742981473419349,0.3309535015954894,0.3477527844242656,0.3782079597930442,0.3579894314686787,0.2541074956186443,0.2634405878045025,0.5530933072885075,0.39886130296227373,0.34879844549752637,0.31017375087818755,0.1573389019736403,0.2278325230690581,0.673653908190892,0.34281849090889094,0.2969892012005356,0.2303954333099434,0.3651852974514267,0.2353576105280274,0.38609429508748394,0.20536155896056507,0.21490983479835546,0.33047158320292425,0.34927462543345134,0.3461298431469686,0.30815209408148847,0.26937059680583086,0.3286292540849529,0.2657949197254281,0.3672372732628998,0.5455780336063079,0.4186994400553342,0.2247042078170003,0.3426992384173264,0.20740366384873077,0.9999999999999999
