,bag,basket,blender,bottle,bowl,cabinet,can,can opener,chopsticks,cooler,cork,cup,drawer,flask,fork,grill,jar,kitchen,knife,ladle,measuring cup,nutcracker,plate,refrigerator,rolling pin,spatula,spoon,straw,teapot,toaster,toothpick
cork,0.3318914785650595,0.18016415781276396,0.17156181763495826,0.4358321655143478,0.2460623525149197,0.29626652587608726,0.177985654816311,0.28028974945237484,0.22556198352383894,0.25880230746935484,0.9999999999999998,0.30215397865508464,0.23555530038623873,0.28375680556474747,0.1981361344010757,0.21680003008137194,0.2765348644867416,0.2861580655714997,0.29090191165471135,0.27341202475722914,0.1541230978479986,0.22641374910628398,0.2723684115241214,0.22091728083931894,0.19991570608053755,0.15040723290477032,0.20627855268711315,0.2820730519415462,0.3198746756793923,0.12501144457134417,0.28361286444951084
cup,0.4398764547751022,0.4423624071738197,0.3784451600054597,0.5165520101881953,0.6195491899701557,0.2895580685856305,0.14964161299335488,0.30914630109049623,0.3393721816929547,0.29834565900317145,0.30215397865508464,1.0,0.30491542867743215,0.40145152180286114,0.4039471908065664,0.33907811445338787,0.4492310163574571,0.3031726976968735,0.36848076940837826,0.5016151331620013,0.6784323524470096,0.30985748100529054,0.5396209509841764,0.2568219621929747,0.3765125776575362,0.3671327076984816,0.5110689289436791,0.49085485619294844,0.42992450903350754,0.2892985267351844,0.456400573091743
drawer,0.4096777337981965,0.41533212283402665,0.4039746472253003,0.3611218534864611,0.33217081914446456,0.538506602651964,0.04714524732526182,0.3292157077717348,0.3391730313541059,0.2497875543453424,0.23555530038623873,0.30491542867743215,1.0,0.2842683290211392,0.39436646818590426,0.38510223979184643,0.4727426555718104,0.34075343037232086,0.39555099888033374,0.48674013680262274,0.2698308458573938,0.2921794753471114,0.4214576574532881,0.3465930748053758,0.40023767622026996,0.44992030410123784,0.4409206765793464,0.3541443240119515,0.3233379056977851,0.3291881937576324,0.43693879794209023
flask,0.42484420283392743,0.2882939948717389,0.29016752615913644,0.5748083406461907,0.379639736001251,0.255211631672408,0.09581613322603699,0.3147670566006646,0.24502566149500504,0.3519612172556371,0.28375680556474747,0.40145152180286114,0.2842683290211392,1.0,0.20029005530698674,0.2666278619741549,0.36943758504022184,0.143968785312239,0.3128950369221518,0.40284850071350187,0.3075257963469389,0.22660929593595291,0.2911691806765748,0.2473523901143686,0.3419865552892918,0.22598315972465977,0.293642891185655,0.3775694329641095,0.3550683489165314,0.2782690401424479,0.3538603575588706
fork,0.4546810516268782,0.3786451319250127,0.39828591420303394,0.2817254669792082,0.43333709912642737,0.24086160320177585,0.03652728249675896,0.3256928558597938,0.5515001867538668,0.18826033364103734,0.1981361344010757,0.4039471908065664,0.39436646818590426,0.20029005530698674,1.0,0.39976345927857204,0.385763889493711,0.3155238539775256,0.5384477219190017,0.5494308834861047,0.23953010014980702,0.3498051606497319,0.4964142953845043,0.3117660146099521,0.344205263859088,0.5168904286139955,0.6443656997568059,0.3874429059516513,0.32654046339895637,0.33415022445000164,0.45720758796672034
grill,0.32995987470267973,0.3292033833443626,0.29218134930541706,0.3467232919979,0.41200118603940106,0.3927718659131807,0.15342939809002398,0.346358197560934,0.32065296667971954,0.38587349586408803,0.21680003008137194,0.33907811445338787,0.38510223979184643,0.2666278619741549,0.39976345927857204,1.0,0.27061030204930847,0.4524153930433952,0.421796020986724,0.37766885704278175,0.15501251618768075,0.25122430660611417,0.5032055143510379,0.3831321372850939,0.2292719337093042,0.43930067210752144,0.343568741998419,0.25916886505997505,0.24891629441496288,0.46059002181863984,0.43233029238324594
jar,0.43218375459326586,0.3480107211741319,0.29760933012049895,0.4521514667573995,0.45942439028295334,0.34112854545506444,0.1529821505459733,0.4024224936595685,0.3148272694769322,0.2851360332721493,0.2765348644867416,0.4492310163574571,0.4727426555718104,0.36943758504022184,0.385763889493711,0.27061030204930847,1.0,0.27746314909643877,0.3763768335777674,0.5223376309227852,0.32478342522863324,0.3937925773162494,0.3453426749972124,0.32354214240487866,0.32453056821334936,0.4007970556948557,0.5181156654550425,0.31538829455988915,0.4467523034091544,0.34069969838382863,0.37551497098483144
kitchen,0.28623335507881287,0.35009236147297185,0.32350981342190044,0.33641518449565466,0.3183664480504682,0.48456068348852177,0.1704986451201852,0.3079705926166093,0.28666401486799487,0.26521217510304884,0.2861580655714997,0.3031726976968735,0.34075343037232086,0.143968785312239,0.3155238539775256,0.4524153930433952,0.27746314909643877,1.0,0.4126859272894061,0.33222594015854956,0.16963208932133955,0.20493176412328762,0.41219125940154044,0.36992503039358593,0.17953532337901656,0.37036842297892636,0.3422220499617168,0.1902838245166696,0.22943816754868207,0.3485307215149851,0.28939602484806004
knife,0.5061073842910698,0.3083077224768185,0.4136654194772126,0.443024475183059,0.40470739953862767,0.3655435973115624,0.13418202118167455,0.4803819865348232,0.48616952012825354,0.232113241540148,0.29090191165471135,0.36848076940837826,0.39555099888033374,0.3128950369221518,0.5384477219190017,0.421796020986724,0.3763768335777674,0.4126859272894061,1.0,0.5834897022915279,0.21103280464644658,0.3745008808025163,0.43259992653774537,0.35607549148199313,0.35792999176640605,0.5537764164794206,0.587206683952562,0.3869944099052509,0.30518006173341616,0.36385873254242007,0.5570612253362945
ladle,0.4554645584804934,0.29268075678553584,0.42611444210236515,0.43599519007232623,0.5006663841061922,0.38966793120452814,0.11980435603980044,0.4735509714998578,0.509530972374536,0.25001109210986594,0.27341202475722914,0.5016151331620013,0.48674013680262274,0.40284850071350187,0.5494308834861047,0.37766885704278175,0.5223376309227852,0.33222594015854956,0.5834897022915279,1.0,0.4382339973412046,0.39288902582704543,0.4989671439529755,0.3573937947482253,0.4654801864956122,0.6059863643883663,0.6123672845428929,0.4604026048902248,0.42369905991462686,0.42851274024386643,0.5566337222153954
measuring cup,0.2604467260743547,0.2799290268753746,0.264214316840796,0.3404007774273572,0.4099515446075569,0.19026140734693797,0.0705591806230147,0.32672783393639904,0.28750315032884677,0.15235630477795137,0.1541230978479986,0.6784323524470096,0.2698308458573938,0.3075257963469389,0.23953010014980702,0.15501251618768075,0.32478342522863324,0.16963208932133955,0.21103280464644658,0.4382339973412046,1.0,0.24392783274830265,0.33972203145336455,0.1906332983936222,0.3783402208675293,0.2995267271754464,0.4242626335071601,0.25486498112627,0.22954550659467443,0.21872056784543903,0.29324867618233297
nutcracker,0.3399339204109685,0.31360143694260634,0.3197766005298841,0.29373944759768067,0.27061201077104546,0.34896544497421733,0.12574841273729975,0.3405615494772989,0.34835326545873646,0.25894647671597704,0.22641374910628398,0.30985748100529054,0.2921794753471114,0.22660929593595291,0.3498051606497319,0.25122430660611417,0.3937925773162494,0.20493176412328762,0.3745008808025163,0.39288902582704543,0.24392783274830265,1.0,0.23915881984318632,0.263805121364878,0.3806298257093146,0.41177342615329593,0.32020143006882673,0.21551202556782767,0.3438100380114072,0.28171825565087294,0.49278468552895305
plate,0.3912009522167996,0.34636871470522734,0.36214699793219474,0.3907352896050862,0.5346711567293899,0.4229428297409483,0.16045417630231662,0.356904071188485,0.3761009422317316,0.3067047965622236,0.2723684115241214,0.5396209509841764,0.4214576574532881,0.2911691806765748,0.4964142953845043,0.5032055143510379,0.3453426749972124,0.41219125940154044,0.43259992653774537,0.4989671439529755,0.33972203145336455,0.23915881984318632,1.0,0.2662617278058448,0.43179198409768516,0.39901799495541956,0.4546507101154633,0.4009058062330515,0.38844948728156714,0.38367670782396734,0.438018100900851
refrigerator,0.31917624784821585,0.4029360979665846,0.32398659072633673,0.35526406848158953,0.31269679328704547,0.42643248412658574,0.11462094528032296,0.30791102475901444,0.20960681881535337,0.4313172518642592,0.22091728083931894,0.2568219621929747,0.3465930748053758,0.2473523901143686,0.3117660146099521,0.3831321372850939,0.32354214240487866,0.36992503039358593,0.35607549148199313,0.3573937947482253,0.1906332983936222,0.263805121364878,0.2662617278058448,0.9999999999999998,0.20269795355003883,0.3703044470289065,0.3251485302739008,0.32159179444520003,0.2408679298913058,0.36571490462745226,0.3515074165667127
rolling pin,0.3474626997044935,0.2926989745887525,0.25532362163110855,0.3077590680278339,0.3707833831746743,0.2359994213946628,0.08646202754399501,0.3855447807069341,0.4188210428151796,0.23047075355371538,0.19991570608053755,0.3765125776575362,0.40023767622026996,0.3419865552892918,0.344205263859088,0.2292719337093042,0.32453056821334936,0.17953532337901656,0.35792999176640605,0.4654801864956122,0.3783402208675293,0.3806298257093146,0.43179198409768516,0.20269795355003883,1.0,0.4503368734252923,0.37509700581153105,0.33923268357740477,0.28104825563717983,0.3568554307602485,0.4952160676545688
spatula,0.3204211289997386,0.3303088172321298,0.40188555598838427,0.3081169119467013,0.3258635365930943,0.27056590693475613,0.0022104442497581367,0.3852867010766552,0.45207468084612,0.1417664641749935,0.15040723290477032,0.3671327076984816,0.44992030410123784,0.22598315972465977,0.5168904286139955,0.43930067210752144,0.4007970556948557,0.37036842297892636,0.5537764164794206,0.6059863643883663,0.2995267271754464,0.41177342615329593,0.39901799495541956,0.3703044470289065,0.4503368734252923,1.0,0.5806797123417875,0.352859291364754,0.3040828929457362,0.3811375903295089,0.46336590969035396
spoon,0.44588291033462113,0.3225752472295398,0.3877514436962779,0.4262081541110513,0.5430737388962329,0.2914213359913118,0.05326969399344128,0.3896938038701905,0.5703747240918919,0.19391486267477265,0.20627855268711315,0.5110689289436791,0.4409206765793464,0.293642891185655,0.6443656997568059,0.343568741998419,0.5181156654550425,0.3422220499617168,0.587206683952562,0.6123672845428929,0.4242626335071601,0.32020143006882673,0.4546507101154633,0.3251485302739008,0.37509700581153105,0.5806797123417875,1.0,0.4426720261278354,0.36987991399086395,0.3714602585969401,0.4565831073431217
straw,0.43097509346475227,0.3463680069720527,0.3720136512591594,0.4290439208421455,0.4117124824667272,0.29981409075271204,0.07860687997423221,0.23028247826562764,0.349264811294572,0.3784692022683709,0.2820730519415462,0.49085485619294844,0.3541443240119515,0.3775694329641095,0.3874429059516513,0.25916886505997505,0.31538829455988915,0.1902838245166696,0.3869944099052509,0.4604026048902248,0.25486498112627,0.21551202556782767,0.4009058062330515,0.32159179444520003,0.33923268357740477,0.352859291364754,0.4426720261278354,0.9999999999999998,0.36751474340217505,0.2650999117140883,0.5026438718806486
teapot,0.36815079060872713,0.32803317928697584,0.3283339385345725,0.39523896111058976,0.39100234609345996,0.38154385707731153,0.14790843392424957,0.2781021370259066,0.26816619938267283,0.27274625964648824,0.3198746756793923,0.42992450903350754,0.3233379056977851,0.3550683489165314,0.32654046339895637,0.24891629441496288,0.4467523034091544,0.22943816754868207,0.30518006173341616,0.42369905991462686,0.22954550659467443,0.3438100380114072,0.38844948728156714,0.2408679298913058,0.28104825563717983,0.3040828929457362,0.36987991399086395,0.36751474340217505,1.0,0.3028096323431899,0.3239918021921925
toaster,0.27956794045150146,0.34385747240208564,0.32449570555948015,0.1969933181270369,0.3377449761263902,0.30402691595529874,0.16929920467284476,0.3536281035750397,0.3544608279468653,0.24811194488525867,0.12501144457134417,0.2892985267351844,0.3291881937576324,0.2782690401424479,0.33415022445000164,0.46059002181863984,0.34069969838382863,0.3485307215149851,0.36385873254242007,0.42851274024386643,0.21872056784543903,0.28171825565087294,0.38367670782396734,0.36571490462745226,0.3568554307602485,0.3811375903295089,0.3714602585969401,0.2650999117140883,0.3028096323431899,1.0,0.3435324075038677
toothpick,0.4154051268580312,0.3774078838214997,0.3527110371614708,0.42244972321147645,0.45895961963370513,0.3498578850684122,0.13035431588463586,0.4031541755988214,0.4998027548142763,0.24947798446419522,0.28361286444951084,0.456400573091743,0.43693879794209023,0.3538603575588706,0.45720758796672034,0.43233029238324594,0.37551497098483144,0.28939602484806004,0.5570612253362945,0.5566337222153954,0.29324867618233297,0.49278468552895305,0.438018100900851,0.3515074165667127,0.4952160676545688,0.46336590969035396,0.4565831073431217,0.5026438718806486,0.3239918021921925,0.3435324075038677,1.0
